P_CODE,P_DESCRIPT,P_INDATE,P_QOH,P_MIN,P_PRICE,P_DISCOUNT,V_CODE
11310,Power Painter,3/11/2017,8,5,109.99,0,25595
13220,Saw Blade,12/13/2017,32,15,14.99,0.05,21344
14130,Power Saw Blade,11/13/2017,18,12,17.49,0,21344
15462,Hard Cloth,1/15/2018,15,8,39.95,0,23119
15581,Hard Cloth Smalle,1/15/2018,23,5,43.99,0,23119
22320,B&D jigsaw 12Blade,12/30/2017,8,5,109.92,0.05,24288
22321,B&D jigsaw 8Blade,12/24/2017,6,5,99.87,0.05,24288
22383,B&D cordless drill,1/20/2018,12,5,38.95,0.05,25595
23109,Claw hammer,1/20/2018,23,10,9.95,0.1,21225
23114,Sledge hammer,1/2/2018,8,5,14.4,0.05,
54778,Rat-tail file,12/15/2018,43,20,4.99,0,21344
89122,Hicut chain saw,2/7/2018,11,5,256.99,0.05,24288
23221,PVC pipe,2/20/2018,188,75,5.87,0,
18277,25metal screw 25,3/1/2018,172,75,6.99,0,21225
23116,22screw,2/24/2017,237,100,8.45,0,21231
33223,Steel matting,1/17/2018,18,5,119.95,0.1,25595
