V_CODE,V_NAME,V_CONTACT,V_AREACODE,V_PHONE,V_STATE,V_ORDER
21225,Bryson Inc,Smithson,615,2233234,TN,Y
21226,SuperLoo Inc,Flushing,904,2158995,FL,N
21231,D&E Supply,Singh,615,2283245,TN,Y
21344,Gomez Bros,Ortega,615,8892546,KY,N
22567,Dome Supply,Smith,901,6781419,GA,N
23119,Randsets Ltd,Anderson,901,6783998,GA,Y
24004,Brackman Bros,Browning,615,2281410,TN,N
24288,ORDVA Inc,Hakford,615,8981234,TN,Y
25443,B&K Inc,Smith,904,2270093,FL,N
25501,Damal Supplies,Smythe,615,8903529,TN,N
25595,Rubicon Systems,Orton,904,4560092,FL,Y
